ID,skill,pay,eff,bias
1,"1,2,5",58,0.85,0.5
2,"2,4,5",35,0.86,0.5
3,"1,3",39,0.84,0.5
4,2,37,0.87,0.5
5,1,31,0.88,0.5
6,"1,2,3,4,5",70,0.81,0.5
7,"3,4",45,0.85,0.5
8,"2,4,5",63,0.83,0.5
9,"4,5",43,0.88,0.5
10,"3,4,5",78,0.86,0.5
11,"1,5",43,0.87,0.5
12,"1,3,5",75,0.89,0.5
13,"1,5,6",48,0.82,0.5
14,"6,7",42,0.83,0.5
15,"1,2,4,5",59,0.84,0.5
16,"1,3,4,6",53,0.94,0.5
17,"2,4,6",67,0.91,0.5
18,5,41,0.93,0.5
19,"5,6,7",57,0.94,0.5
20,6,41,0.88,0.5
21,"1,4,6",59,0.85,0.5
22,"1,2,3,4",73,0.84,0.5
23,"1,2,4,5",57,0.88,0.5
24,"2,3,4,5",49,0.92,0.5
25,"2,3,5",32,0.94,0.5
26,"1,3,5,7",58,0.99,0.5
27,"6,7",42,0.87,0.5
28,"2,3,5,6,7",74,0.87,0.5
29,"1,3,4,5",68,0.79,0.5
30,"1,2,3,4,5",60,0.78,0.5
31,"1,2,3,6,7",51,0.85,0.5
32,"1,3,5",53,0.85,0.5
33,"1,2,4",57,0.86,0.5
34,"3,4,5",69,0.9,0.5
35,3,39,0.88,0.5
36,4,47,0.86,0.5
37,5,49,0.88,0.5
38,6,52,0.84,0.5
39,1,42,0.83,0.5
40,2,45,0.85,0.5
